MU;5115;SHA;BJS;20220512150000;20220512172000;A;A;7;
HO;5769;SZX;BJS;20220512134000;20220512165500;A;A;4;
MU;5392;SZX;BJS;20220512134000;20220512165500;5;A;6;
CA;8207;WUH;BJS;20220512143000;20220512164000;9;4;A;
CA;1224;SIA;BJS;20220512170500;20220512192000;2;3;A;
HU;7536;CSX;BJS;20220512163000;20220512190000;4;0;A;
ZH;1400;CSX;BJS;20220512140000;20220512162000;A;7;2;
CA;1400;CSX;BJS;20220512140000;20220512162000;A;A;1;
MU;2831;NKG;BJS;20220512143000;20220512163000;5;8;A;
CA;1707;HGH;BJS;20220512150000;20220512172000;1;A;A;
HO;5997;HGH;BJS;20220512134000;20220512160000;6;4;3;
MU;5148;HGH;BJS;20220512160500;20220512182000;6;A;1;
MF;4690;HGH;BJS;20220512134000;20220512160000;A;A;A;
CZ;8858;HGH;BJS;20220512134000;20220512160000;8;A;8;
GJ;8099;HGH;BJS;20220512152500;20220512175000;A;4;2;
CA;1438;CKG;BJS;20220512163000;20220512190000;A;A;8;
3U;1798;CKG;BJS;20220512191500;20220512215000;5;9;A;
CZ;8818;CKG;BJS;20220512191500;20220512215000;A;4;A;
MF;4660;CKG;BJS;20220512191500;20220512215000;4;3;0;
G5;8530;CKG;BJS;20220512195000;20220512223000;A;A;A;
MU;6686;CKG;BJS;20220512195000;20220512223000;6;3;A;
CZ;6184;CTU;BJS;20220512162000;20220512185500;9;5;9;
MF;1939;CTU;BJS;20220512162000;20220512185500;A;4;A;
KN;5206;CTU;BJS;20220512180000;20220512205000;A;A;A;
3U;5372;CTU;BJS;20220512205000;20220512231500;9;8;A;
CA;4105;CTU;BJS;20220512160000;20220512191500;A;A;A;
HO;5949;CTU;BJS;20220512162000;20220512185500;A;A;A;
MU;6648;CTU;BJS;20220512205000;20220512231500;2;A;A;
MU;6642;CTU;BJS;20220512150000;20220512172500;A;A;0;
CZ;8842;KMG;BJS;20220512165000;20220512201000;8;A;A;
MF;4676;KMG;BJS;20220512165000;20220512201000;7;2;A;
NS;8078;KWE;BJS;20220512152000;20220512195500;3;A;4;
CA;4165;KWE;BJS;20220512162000;20220512192000;A;A;9;
CZ;9842;KWE;BJS;20220512152000;20220512195500;6;A;1;
MF;7142;KWE;BJS;20220512152000;20220512195500;1;0;A;
ZH;4165;KWE;BJS;20220512162000;20220512192000;9;6;3;
HU;7280;SYX;BJS;20220512150000;20220512191000;A;A;A;
MF;4205;SYX;BJS;20220512135500;20220512175500;A;6;A;
CZ;6715;SYX;BJS;20220512135500;20220512175500;3;5;A;
CA;1394;HAK;BJS;20220512163000;20220512203000;6;A;4;
ZH;1394;HAK;BJS;20220512163000;20220512203000;1;2;6;
JD;5208;XNN;BJS;20220512174000;20220512200000;A;A;A;
MU;2415;LHW;BJS;20220512154000;20220512180000;A;A;A;
CA;1220;INC;BJS;20220512170000;20220512185500;A;3;7;
ZH;1220;INC;BJS;20220512170000;20220512185500;A;0;A;
MU;5124;BJS;SHA;20220512193000;20220512214500;1;4;A;
CZ;380Z;TAO;CAN;20220512170000;20220512200500;A;0;3;
CA;3796;TAO;CAN;20220512195500;20220512230500;0;2;A;
SC;9996;TAO;CAN;20220512195500;20220512230500;2;A;A;
ZH;9996;TAO;CAN;20220512195500;20220512230500;A;8;0;
TV;6403;TAO;CAN;20220512195500;20220512230500;A;A;2;
CZ;323X;SIA;CAN;20220512151000;20220512181500;0;A;A;
HU;7314;NKG;CAN;20220512144000;20220512170500;A;8;A;
GJ;8989;HGH;CAN;20220512230000;20220513010500;8;4;A;
JD;5228;CKG;CAN;20220512135500;20220512160500;7;9;A;
AQ;1200;CKG;CAN;20220512225500;20220513011500;8;A;A;
HO;5822;CTU;CAN;20220512160000;20220512182500;A;9;9;
MU;6185;CTU;CAN;20220512160000;20220512182500;8;A;4;
AQ;1506;CTU;CAN;20220512172500;20220512200000;A;1;7;
HU;7005;HAK;CAN;20220512180500;20220512192500;A;A;3;
TV;7104;LHW;CAN;20220512174000;20220512230500;A;0;A;
CZ;4872;LHW;CAN;20220512174000;20220512230500;0;A;7;
MF;5903;LHW;CAN;20220512174000;20220512230500;1;7;A;
GJ;8854;LHW;CAN;20220512174000;20220512230500;4;A;A;
KY;9606;SHE;SZX;20220512203000;20220513004500;9;A;A;
CA;3628;SHE;SZX;20220512203000;20220513004500;A;A;7;
ZH;9606;SHE;SZX;20220512203000;20220513004500;A;7;A;
RY;6655;SHE;SZX;20220512134500;20220512181500;A;0;A;
CZ;3612;SHE;SZX;20220512192000;20220512235500;A;A;9;
MF;4638;TAO;SZX;20220512172000;20220512202500;A;0;A;
CZ;8736;TAO;SZX;20220512134000;20220512170000;8;A;6;
CZ;8746;TAO;SZX;20220512172000;20220512202500;A;A;5;
TV;6793;TAO;SZX;20220512154500;20220512184000;9;5;A;
SC;9914;TAO;SZX;20220512143000;20220512174000;3;3;A;
SC;9916;TAO;SZX;20220512195000;20220512230500;A;6;6;
SC;9918;TAO;SZX;20220512193500;20220512224000;6;A;2;
SC;4681;TAO;SZX;20220512154500;20220512184000;9;A;8;
CA;3336;TAO;SZX;20220512195000;20220512230500;1;A;8;
CA;3800;TAO;SZX;20220512143000;20220512174000;6;8;A;
CA;4681;TAO;SZX;20220512154500;20220512184000;A;A;4;
CA;3798;TAO;SZX;20220512193500;20220512224000;5;A;A;
KY;9914;TAO;SZX;20220512143000;20220512174000;A;4;2;
KY;9918;TAO;SZX;20220512193500;20220512224000;3;4;A;
KY;9916;TAO;SZX;20220512195000;20220512230500;A;A;1;
ZH;9914;TAO;SZX;20220512143000;20220512174000;8;1;4;
ZH;9916;TAO;SZX;20220512195000;20220512230500;A;A;6;
ZH;9918;TAO;SZX;20220512193500;20220512224000;7;A;A;
3U;4226;TNA;SZX;20220512183500;20220512213500;A;6;A;
SC;9904;TNA;SZX;20220512183500;20220512213500;A;5;4;
ZH;9904;TNA;SZX;20220512183500;20220512213500;0;6;A;
MF;4652;TNA;SZX;20220512183000;20220512212000;A;A;5;
PN;6334;TNA;SZX;20220512190500;20220512221000;A;3;A;
CZ;8798;TNA;SZX;20220512183000;20220512212000;9;3;A;
KY;9904;TNA;SZX;20220512183500;20220512213500;A;A;9;
CA;3794;TNA;SZX;20220512183500;20220512213500;A;5;A;
